title,popular_rank,startYear,runtime,type,origin_country,language,rating,US_country,English_language
Mercenaire,4699,2016,103,movie,France,French,6.4,FALSE,FALSE
Dead Places,2265,2021,45,tvSeries,South Africa,English,6.8,FALSE,TRUE
Nate Bargatze: The Tennessee Kid,3927,2019,60,tvSpecial,United States,English,7.6,TRUE,TRUE
I'll Be Home for Christmas,3032,2016,84,tvMovie,United States,English,6.1,TRUE,TRUE
Tales of the City,846,2019,60,tvSeries,United States,English,7.4,TRUE,TRUE
Sky Ladder: The Art of Cai Guo-Qiang,3211,2016,76,movie,United States,English,7.3,TRUE,TRUE
Colombiana,287,2011,108,movie,France,English,6.4,FALSE,TRUE
El sendero de la anaconda,5077,2019,73,movie,Colombia,English,6.8,FALSE,TRUE
 Love Is Blind,7921,2020,58,tvEpisode,United States,English,6,TRUE,TRUE
Seven in Heaven,2488,2018,94,movie,United States,English,5.3,TRUE,TRUE
Dolly Parton: Here I Am,3914,2019,90,tvMovie,United Kingdom,English,7.3,FALSE,TRUE
Street,3106,2015,85,movie,United States,English,4.6,TRUE,TRUE
Uma Maheswara Ugra Roopasya,2734,2020,136,movie,India,Telugu,7.8,FALSE,FALSE
Thiago Ventura: Pokas,5654,2020,82,tvSpecial,Brazil,Portuguese,6.7,FALSE,FALSE
Kid-E-Cats,3895,2016,5,tvSeries,Russia,Russian,7.5,FALSE,FALSE
Oxygène,64,2021,100,movie,France,French,6.5,FALSE,FALSE
Smile at the Runway,4810,2020,24,tvSeries,Japan,Japanese,6.8,FALSE,FALSE
Flowers,1476,2016,30,tvSeries,United Kingdom,English,8.2,FALSE,TRUE
Gods of Egypt,399,2016,127,movie,United States,English,5.4,TRUE,TRUE
Rezeta,4839,2012,85,movie,Mexico,Spanish,5.7,FALSE,FALSE
Joanna Lumley's Japan,4404,2016,46,tvMiniSeries,United Kingdom,English,8.3,FALSE,TRUE
Julie's Greenroom,3668,2017,27,tvSeries,United States,English,8.5,TRUE,TRUE
